PLOTID,TRANSECT,ACMI2,ACNE9,ACTH7,AGGL,AGGR,ALAC4,AMMEM2,AMRE2,AMSIN,ANLU2,ARAR8,ARLU,ARTRV,ASTRA,BASA3,BRJA,BRTE,CADO2,CAEU,CASTI2,CHDO,CHVI8,CIUN,COLI2,COPA3,CORA5,CRAC2,CRAT,CROC,DF,DG,DS,ELEL5,EQLA,ERAP,ERCA8,ERHE2,ERNA10,EROV,ERPU2,ERUM,ERWR,FEID,GARA2,HEUN,HYCA4,IPAGA3,IRIS,IVAX,KOMA,L,LASE,LECI4,LERE7,LILO,LIRU4,LOCO4,LODI,LONU2,LOTR,LUAR6,LUCA,LUPIN,LUSE4,MADIA,MAGR2,MEAL6,MEBU,MINU,N,NEST5,PEHU,PENST,PHHE2,PHLO2,POBU,POSE,PSSP6,PUTR2,SEIN2,TECA2,TRDU,UNK100,VIPUV2,WL,ZIPA2
101C,2,0,0,7,0,0,0,0,0,0,0,0,0,38,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,2,0,0,0,0,11,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
101C,15,0,0,9,2,0,0,0,0,0,0,0,0,22,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,4,1,0,0,0,3,0,0,0,1
101C,28,0,0,5,1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,21,0,0,0,0,1,0,1,3,1,0,0,0,0,0,0,0
101T,2,0,0,6,1,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,2,0,0,0,0,0,0,22,0,0,0,0,1,0,7,7,0,0,3,0,0,0,0,0
101T,15,0,0,9,0,0,0,0,0,0,0,0,0,26,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1,1,0,0,0,0,0,0,18,0,0,0,0,3,0,8,2,0,0,0,0,0,0,0,0
101T,28,0,0,9,0,0,0,0,0,0,0,0,0,28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,1,0,0,0,0,19,0,0,0,0,1,0,5,0,0,0,1,0,0,0,0,0
102T,2,0,1,1,0,0,0,0,0,0,0,0,2,47,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,59,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,18,2,0,0,0,0,0,0,1,1
102T,15,3,0,2,0,0,0,0,0,0,0,0,0,32,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,1,0,0,0,0,0,0,3,2,0,0,0,1,0,36,1,0,0,0,0,0,1,2,3
102T,28,0,1,2,0,0,0,0,0,0,0,0,0,33,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,5,4,0,0,0,0,0,0,6,2,0,0,0,5,0,24,2,0,0,0,0,0,0,2,3
103C,2,0,0,2,0,0,0,0,0,0,0,0,0,26,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,3,0,0,0,0,0,0,13,0,0,0,0,3,0,18,4,2,0,0,0,0,0,4,0
103C,15,1,1,1,0,0,0,0,0,0,0,0,0,31,0,2,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,1,0,0,0,0,0,0,9,0,0,0,0,6,0,12,6,0,1,0,0,0,0,0,0
103C,28,1,0,4,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,2,0,0,0,0,0,0,14,0,0,0,0,1,0,20,3,0,0,2,0,0,0,0,0
103T,2,0,0,5,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,6,0,0,0,0,0,0,14,0,0,0,0,2,0,9,5,10,0,0,0,0,0,3,0
103T,15,0,0,9,0,0,0,0,0,0,0,0,0,30,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,2,0,0,0,0,0,0,12,0,0,0,0,0,0,14,3,7,0,1,0,0,0,1,0
103T,28,2,0,2,0,0,0,0,0,0,0,0,0,33,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,4,0,0,0,0,0,0,10,1,1,0,0,2,0,12,2,9,0,0,0,0,0,1,0
104C,2,0,0,3,0,0,0,0,0,0,0,0,0,28,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,29,2,0,0,0,0,0,0,2,0
104C,15,0,0,2,0,0,0,0,0,0,0,0,0,29,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,1,0,0,0,0,0,0,11,0,0,0,0,3,0,22,7,0,0,0,0,0,0,2,1
104C,28,0,0,1,0,0,0,0,0,0,0,0,0,32,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,24,0,0,0,0,0,0,0,0,1
104T,2,0,0,0,0,0,0,0,0,0,0,0,0,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,60,2,1,0,0,0,0,0,1,10,0,0,0,0,2,0,0,14,7,1,0,0,0,0,0,0
104T,15,0,0,4,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,2,0,0,0,0,0,0,23,0,0,0,0,4,0,7,5,4,0,0,0,0,0,0,0
104T,28,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,4,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,1,34,2,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0
105T,2,0,0,2,1,0,0,0,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,5,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,59,3,0,0,0,0,0,0,0,14,0,0,0,0,1,0,8,16,0,0,0,0,0,0,0,0
105T,15,0,0,2,0,0,0,0,0,0,0,0,0,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,7,13,0,0,2,0,0,0,1,0
105T,28,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,1,0,11,0,0,0,0,1,0,4,17,0,0,1,0,0,0,0,0
201C,2,0,0,5,0,0,0,0,0,0,0,0,0,31,0,1,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,1,0,0,0,0,0,0,18,0,0,0,0,0,0,4,1,1,0,0,0,0,0,3,0
201C,15,0,0,1,0,0,0,0,0,0,1,0,0,27,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,53,0,1,0,0,0,0,0,0,22,0,0,0,0,0,0,10,1,0,0,0,0,0,0,2,0
201C,28,0,0,2,0,0,0,0,0,0,1,0,0,21,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,49,0,1,0,0,0,0,0,0,20,1,0,0,0,1,0,13,4,0,0,1,0,0,0,5,0
201T,2,1,0,6,0,0,0,0,0,0,0,0,2,41,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,3,4,0,0,0,0,0,0,5,0,0,0,0,1,0,18,2,0,0,1,0,0,0,0,0
201T,15,0,3,2,0,0,0,0,0,0,0,0,0,48,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,3,0,0,0,0,0,0,3,0,0,0,0,2,0,22,0,0,0,0,0,0,0,0,0
201T,28,0,2,2,0,0,0,0,0,0,0,0,0,43,0,0,0,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,2,3,0,0,0,0,0,0,4,0,0,0,0,3,0,15,1,1,0,0,0,0,0,2,0
202C,2,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,2,0,0,0,0,0,0,10,0,0,0,0,1,0,14,2,1,0,3,0,0,1,3,0
202C,15,0,0,1,2,0,0,0,0,0,0,1,0,32,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,2,2,0,0,0,0,0,0,11,0,0,0,0,1,0,20,2,0,1,0,0,0,0,1,0
202C,28,6,0,0,2,0,0,0,0,0,0,0,0,31,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,52,5,1,0,0,0,3,0,0,12,0,0,0,0,3,0,9,3,0,0,2,2,0,0,4,0
202T,2,3,1,4,0,0,0,0,0,0,0,0,1,36,0,0,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,7,0,0,0,0,0,0,1,0,0,0,0,4,0,23,4,1,0,1,0,0,0,4,0
202T,15,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,1,8,0,0,0,0,0,0,3,0,0,0,0,1,0,11,15,0,0,0,0,0,0,1,0
202T,28,1,0,1,0,0,0,0,0,0,0,0,1,29,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,51,0,2,0,0,0,0,0,0,15,0,0,0,0,2,0,7,7,3,0,1,0,0,1,2,0
203C,2,0,0,5,0,0,0,0,0,0,1,0,0,38,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,59,0,1,0,0,1,0,1,0,5,0,0,1,0,1,0,0,15,0,0,1,0,0,0,1,0
