UNIQUE_PLOT_ID,Rep,Trt,Plot,TRT_COMBO,Bground,Aforb,ERCI6,LASE,BRJA,BRTE,ERUM,Pforb,SEIN2,CHJU,POSE,PSSP6,ACNE9,LECI4,ELEL5,FEID,CADO2,Bbluegrass,ARTRV,ARAR8,PUTR2,ERNA10,CHVI8
C01,1,1,1301,CONTROL,5,5,0,0,63,18,0,18,0,0,18,0,5,0,0,0,0,0,18,0,0,0,0
C02,2,1,1302,CONTROL,5,5,5,5,0,63,0,5,5,5,18,5,5,0,0,0,0,0,0,0,0,0,0
C07,3,1,1303,CONTROL,5,5,5,38,63,5,0,5,0,0,18,5,5,0,0,0,0,0,5,0,0,0,0
C08,4,1,1304,CONTROL,5,5,0,0,18,63,0,5,0,0,18,5,0,0,0,0,0,5,63,0,0,0,0
C03,5,1,1305,CONTROL,18,5,0,5,38,5,0,5,0,0,5,0,0,5,1,0,0,0,5,38,0,0,0
H01,1,2,501,HEL_INDAZ_1,5,0,0,0,38,38,0,18,0,0,38,0,0,5,0,0,0,5,0,0,0,0,0
H02,2,2,601,HEL_INDAZ_1,5,5,0,0,38,18,0,5,0,0,38,5,0,0,0,5,0,0,5,0,0,0,0
H03,3,2,701,HEL_INDAZ_1,5,0,0,0,18,5,0,5,0,0,18,18,0,0,0,0,0,5,18,0,0,0,0
H04,4,2,801,HEL_INDAZ_1,18,5,0,0,18,5,0,5,0,0,18,5,0,0,5,0,0,0,0,0,0,0,0
H05,1,3,505,HEL_INDAZ_IMAZ_1,18,5,0,0,38,0,0,5,0,0,18,0,0,0,5,0,0,0,0,38,0,0,0
H06,2,3,605,HEL_INDAZ_IMAZ_1,38,5,0,0,18,0,0,18,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0
H07,3,3,705,HEL_INDAZ_IMAZ_1,18,5,0,5,18,5,0,5,5,0,38,0,5,0,0,5,0,0,0,0,0,0,0
H08,4,3,805,HEL_INDAZ_IMAZ_1,18,5,0,5,38,38,0,5,0,0,18,5,5,0,5,0,0,0,5,0,5,5,0
H09,1,4,502,HEL_INDAZ_1,5,18,0,5,63,5,0,18,0,0,18,5,0,0,5,0,5,5,18,0,0,0,0
H10,2,4,602,HEL_INDAZ_1,5,5,0,5,38,38,0,5,0,0,18,5,0,18,0,0,0,0,5,0,0,0,0
H11,3,4,702,HEL_INDAZ_1,18,5,0,0,38,18,0,5,0,0,18,5,0,0,0,0,0,0,38,0,0,0,0
H12,4,4,802,HEL_INDAZ_1,5,5,0,0,83,18,0,5,5,5,18,0,0,0,0,0,0,0,5,0,0,0,0
H13,1,5,506,HEL_INDAZ_IMAZ_1,5,5,0,0,63,5,0,5,0,0,18,0,0,0,5,0,0,5,18,0,0,0,0
H14,2,5,606,HEL_INDAZ_IMAZ_1,18,5,0,5,18,0,0,18,0,0,18,5,0,0,0,0,0,5,0,5,0,0,0
H15,3,5,706,HEL_INDAZ_IMAZ_2,18,5,0,5,18,0,0,18,0,0,38,0,0,0,5,0,0,0,0,0,5,0,0
H16,4,5,806,HEL_INDAZ_IMAZ_2,5,5,0,5,5,63,0,5,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
H17,1,6,503,HEL_INDAZ_2,18,18,0,18,18,0,0,18,0,0,18,0,0,0,0,0,38,5,0,0,0,0,0
H18,2,6,603,HEL_INDAZ_2,5,5,0,0,63,0,0,18,0,0,38,18,0,0,0,0,5,0,0,0,0,0,0
H19,3,6,703,HEL_INDAZ_2,5,5,0,5,63,0,0,38,0,0,18,0,0,5,5,0,0,0,0,0,0,0,0
H20,4,6,803,HEL_INDAZ_2,18,5,0,18,38,38,0,38,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0
H21,1,7,507,HEL_INDAZ_IMAZ_3,18,5,0,0,38,5,0,5,0,0,18,0,0,0,5,0,0,5,5,5,5,0,0
H22,2,7,607,HEL_INDAZ_IMAZ_3,5,5,0,5,38,0,0,5,0,0,18,5,5,0,0,0,0,0,18,18,0,0,0
H23,3,7,707,HEL_INDAZ_IMAZ_3,18,5,0,0,38,0,0,5,0,0,18,0,0,0,5,5,0,5,63,0,0,0,0
H24,4,7,807,HEL_INDAZ_IMAZ_3,5,5,0,5,63,38,0,0,0,0,5,0,0,0,0,0,0,5,5,0,0,0,0
H27,1,8,504,HEL_INDAZ_4,5,5,0,0,38,0,0,18,0,0,5,0,0,0,0,0,63,0,0,0,0,0,0
H28,2,8,604,HEL_INDAZ_4,5,5,0,5,38,5,0,18,0,0,18,5,0,5,5,0,5,0,5,0,0,0,0
H25,3,8,704,HEL_INDAZ_3,18,5,0,18,5,38,0,5,18,0,18,5,0,0,0,0,0,0,5,0,0,0,0
H26,4,8,804,HEL_INDAZ_3,18,5,0,5,5,38,0,5,0,0,38,5,5,0,5,0,0,0,0,0,0,0,0
H31,1,9,508,HEL_INDAZ_IMAZ_4,18,5,0,0,38,0,0,18,0,0,38,0,0,0,5,0,0,5,0,18,0,0,0
H32,2,9,608,HEL_INDAZ_IMAZ_4,5,5,0,0,38,0,0,18,0,0,18,5,5,0,0,0,0,0,5,5,0,5,0
H29,3,9,708,HEL_INDAZ_IMAZ_3,5,38,0,18,38,38,0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0
H30,4,9,808,HEL_INDAZ_IMAZ_3,18,5,0,5,38,63,0,5,5,0,5,0,0,5,0,0,0,0,0,0,0,0,0
A01,1,10,101,AIR_INDAZ_1,5,5,0,0,38,0,0,38,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0
A02,2,10,201,AIR_INDAZ_1,5,5,0,5,38,0,0,18,0,0,18,0,0,0,5,0,0,0,5,18,0,0,0
A03,3,10,301,AIR_INDAZ_1,5,18,0,5,63,0,0,18,0,0,18,0,0,0,5,0,0,5,18,18,0,0,0
A04,4,10,401,AIR_INDAZ_1,5,5,0,0,38,18,0,5,0,0,18,0,0,0,5,0,0,5,63,0,0,0,0
A05,1,11,105,AIR_INDAZ_IMAZ_1,5,38,0,5,38,18,0,5,5,5,18,0,0,0,0,0,0,0,0,0,0,0,0
A06,2,11,205,AIR_INDAZ_IMAZ_1,5,5,0,5,18,63,0,5,5,0,38,0,5,0,0,5,0,0,0,0,0,0,0
A07,3,11,305,AIR_INDAZ_IMAZ_1,5,5,18,0,38,38,0,5,5,0,18,0,0,18,0,0,0,0,0,0,0,0,0
A08,4,11,405,AIR_INDAZ_IMAZ_1,18,18,0,18,5,38,0,5,18,0,18,0,0,0,0,0,0,0,0,0,0,0,0
A09,1,12,102,AIR_INDAZ_1,18,5,0,0,38,5,0,18,0,0,5,5,5,0,0,0,0,0,5,0,0,5,0
A10,2,12,202,AIR_INDAZ_1,18,18,0,0,63,18,5,18,0,0,18,5,0,0,0,0,0,0,0,0,0,5,0
A11,3,12,302,AIR_INDAZ_1,38,5,0,0,18,0,0,18,0,0,18,0,0,0,5,0,0,0,18,0,0,0,0
A12,4,12,402,AIR_INDAZ_1,5,5,0,0,38,5,5,38,0,0,18,0,5,0,0,0,0,0,5,0,5,0,0
A13,1,13,106,AIR_INDAZ_IMAZ_1,18,0,0,0,38,5,0,18,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0
A14,2,13,206,AIR_INDAZ_IMAZ_1,5,5,38,5,0,18,0,5,5,5,38,0,5,0,0,0,0,0,0,0,0,0,0
A15,3,13,306,AIR_INDAZ_IMAZ_1,18,5,0,0,0,63,0,5,0,0,18,0,5,0,0,0,0,0,0,0,0,0,0
A16,4,13,406,AIR_INDAZ_IMAZ_1,5,5,0,5,63,5,0,0,0,0,38,0,0,0,0,0,0,5,0,0,0,0,0
A17,1,14,103,AIR_INDAZ_1,5,5,0,0,18,18,0,18,5,0,5,5,5,5,0,0,0,0,18,0,0,0,5
A18,2,14,203,AIR_INDAZ_1,18,5,0,0,38,18,0,5,5,0,5,5,5,0,0,0,0,5,18,0,0,5,0
A19,3,14,303,AIR_INDAZ_1,5,5,0,0,63,18,0,18,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0
A20,4,14,403,AIR_INDAZ_1,5,5,0,0,5,63,0,18,18,0,5,0,0,5,0,0,0,0,0,0,0,0,0
A21,1,15,107,AIR_INDAZ_IMAZ_1,5,5,0,0,38,38,0,18,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0
A22,2,15,207,AIR_INDAZ_IMAZ_1,18,18,0,0,18,38,0,18,5,0,5,0,0,0,0,5,0,0,0,0,0,0,0
A23,3,15,307,AIR_INDAZ_IMAZ_1,5,18,18,0,0,63,0,5,5,0,18,0,0,0,0,0,0,0,0,0,0,0,0
A24,4,15,407,AIR_INDAZ_IMAZ_1,5,5,0,0,18,38,0,5,18,0,38,0,0,0,0,0,0,0,0,0,0,0,0
A25,1,16,104,AIR_INDAZ_2,5,38,0,18,63,5,0,5,0,0,5,0,0,18,5,0,0,5,0,0,0,0,0
A26,2,16,204,AIR_INDAZ_2,5,5,0,18,5,38,0,38,5,0,5,0,0,5,0,0,0,0,0,0,0,0,0
A27,3,16,304,AIR_INDAZ_3,5,0,5,5,38,63,0,5,5,0,18,0,5,0,0,0,0,0,0,0,0,0,0
A29,1,17,108,AIR_INDAZ_IMAZ_2,5,5,0,0,38,38,0,18,0,0,18,5,5,0,5,0,0,5,5,0,0,0,0
A30,2,17,208,AIR_INDAZ_IMAZ_2,5,5,0,18,63,5,0,5,5,0,18,5,0,0,0,0,0,0,0,0,0,0,0
A31,3,17,308,AIR_INDAZ_IMAZ_2,18,5,5,0,38,38,0,5,5,0,18,5,0,0,0,0,0,0,0,0,0,0,0
A32,4,17,408,AIR_INDAZ_IMAZ_2,5,5,0,0,38,38,0,18,18,0,18,5,0,5,0,0,0,0,0,0,0,0,0
G01,1,18,901,GRD_INDAZ_3,5,5,0,5,5,0,0,5,5,0,18,5,5,0,0,0,0,0,0,0,0,0,0
G02,2,18,902,GRD_INDAZ_3,5,5,5,5,0,38,0,5,5,5,18,5,5,0,0,0,0,0,0,0,0,0,0
G03,3,18,903,GRD_INDAZ_3,5,38,0,0,0,18,0,5,5,0,18,0,0,0,0,0,0,0,0,0,0,0,0
G04,4,18,904,GRD_INDAZ_3,5,38,0,5,0,18,0,5,5,0,18,5,0,0,0,0,0,0,0,0,0,0,0
G05,1,19,1101,GRD_INDAZ_IMAZ_3,5,5,0,5,5,38,0,18,5,5,38,5,5,0,0,0,0,0,0,0,0,0,0
G06,2,19,1102,GRD_INDAZ_IMAZ_3,5,18,5,18,18,38,0,5,5,0,18,5,5,0,0,0,0,0,0,0,0,0,0
G07,3,19,1103,GRD_INDAZ_IMAZ_3,5,18,0,5,18,18,5,5,5,0,18,5,5,0,0,0,0,0,0,0,0,18,0
G08,4,19,1104,GRD_INDAZ_IMAZ_3,5,18,5,5,38,38,0,5,5,0,18,5,5,0,0,0,0,0,0,0,0,5,0
G09,1,20,1001,GRD_INDAZ_4,5,38,5,5,18,18,0,5,5,0,18,5,0,0,0,0,0,0,0,0,0,0,0
G10,2,20,1002,GRD_INDAZ_4,5,38,5,5,38,18,0,5,5,0,38,5,5,0,0,0,0,0,18,0,0,0,0
G11,3,20,1003,GRD_INDAZ_4,5,18,18,0,5,38,0,5,5,0,18,5,0,0,0,0,0,0,0,0,0,5,0
G12,4,20,1004,GRD_INDAZ_4,5,5,18,5,18,38,0,18,5,5,18,5,0,0,0,0,0,0,0,0,0,0,0
G13,1,21,1201,GRD_INDAZ_IMAZ_4,5,38,5,5,38,38,0,5,5,0,18,5,0,0,0,0,0,0,0,0,0,0,0
G14,2,21,1202,GRD_INDAZ_IMAZ_4,5,5,5,5,18,38,0,5,5,0,5,5,0,0,0,0,0,0,5,0,0,5,0
G15,3,21,1203,GRD_INDAZ_IMAZ_4,5,5,38,5,38,38,0,5,5,0,18,0,5,0,0,0,0,0,0,0,0,0,0
G16,4,21,1204,GRD_INDAZ_IMAZ_4,5,5,18,5,5,38,0,5,5,5,18,0,0,0,0,0,0,0,0,0,0,0,0
