Loc,Rep,Trt,Plot,TRT_COMBO,Avg Droplet Coverage(%),BAREGROUND,ACMI2,ACNE9,ACTH7,AGGL,ALAC4,ALDE,AMRE2,AMSIN,ANDI2,ANLU2,ARCU,ARLU,ARTRV,ASPU9,ASTRA,BASA3,BORAG,BRTE,CADO2,CALOC,CHDO,CHJU,CHVI8,CIUN,COLI2,COPA3,CRAC2,CRAT,CROC,DELPH,ELEL5,EPBR3,ERAP,ERCA8,ERCI6,ERHE2,ERMI4,ERNA10,EROV,ERPU2,ERUM,FRAT,HEUN,HYCA4,IVAX,JUNCU,JUNCU2,LASE,LECI4,LERE7,LILEL2,LILIU,LIRU4,LOCO4,LOGR,LONU2,LOTR,LUAR6,LUCA,LUPIN,LUPIN2,LUSE4,MAGR3,MEAL6,MEBU,MINU,NEST5,PHHA,PHHE2,PHLO2,POBU,POSE,PSSP6,PUTR2,SEIN2,SIAL2,TRDU,TRIFO,VINU2,ZIPA2
C,1,1,1301,CONTROL,0,5,0,0,18,5,5,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,5,5,0,0,0,5,5,5,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,38,5,0,0,0,0,0,0,0
C,2,1,1302,CONTROL,0,18,0,0,5,5,0,0,0,0,0,0,0,0,0,0,18,0,5,38,0,0,5,5,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,0,5,5,0,0,0
C,3,1,1303,CONTROL,0,18,0,0,18,0,5,0,0,0,0,0,0,0,18,0,0,5,0,5,0,0,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,18,0,0,0,0,0,0,5,0
C,4,1,1304,CONTROL,0,18,0,0,0,0,5,0,0,0,0,0,0,0,63,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,5,0,0,0,5,0,0,0,5,5,5,18,0,0,0,0,0,0,0
C,5,1,1305,CONTROL,0,5,0,0,0,5,0,0,0,0,0,0,0,0,38,0,0,0,0,5,5,0,0,0,0,0,0,0,0,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,38,0,5,0,18,0,0,18,0,5,5,0,0,0,5,0,0,0,5,0,5,5,0,0,0,0,0,0,0
C,6,1,1306,CONTROL,0,18,0,0,0,5,5,0,5,0,0,0,0,0,5,0,0,0,5,5,0,0,5,0,18,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,5,0,38,0,0,0,0,0,0,0,0
C,7,1,1307,CONTROL,0,5,0,0,0,18,0,0,0,0,0,0,0,0,0,0,5,0,0,63,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,18,18,0,0,5,5,0,5,0
C,8,1,1308,CONTROL,0,5,0,0,0,5,5,0,0,5,0,0,0,0,0,0,5,0,0,38,0,0,5,0,0,5,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5,18,5,0,0,0,5,5,5,0
C,9,1,1309,CONTROL,0,5,0,0,0,0,0,18,0,0,0,0,0,0,63,0,5,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,18,0,0,0,0,0,5,0,0,0,0,0,0,0,0,18,0,0,0,0,0,5,0
C,10,1,1310,CONTROL,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5,5,38,0,0,5,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,18,0,0,0,5,0,0,0,0
C,11,1,1311,CONTROL,0,5,0,0,0,5,5,0,5,0,0,0,0,0,0,0,18,0,0,38,0,0,5,5,0,0,5,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,18,0,0,0,5,5,0,5,0
C,12,1,404A,CONTROL,0,18,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,5,5,18,5,0,0,0,5,0,0,0
H1,1,2,501,HEL_INDAZ_1,2.206,18,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,63,0,0,0,0,0,0,0,0,0,0,0,5,0,18,5,0,0,0,0,0,0,0
H1,2,2,601,HEL_INDAZ_1,2.206,18,0,0,18,5,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,5,0,18,0,0,0,0,0,0,0,0
H1,3,2,701,HEL_INDAZ_1,3.502,38,0,0,0,0,0,0,0,0,0,0,0,0,38,0,5,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,5,0
