DATE,ROUTE,PLOT_NUM,P_LOCATION,CL_UNCL,T_LOCATION,GRADE_CAT,GRADE,STARS,ROUTE_TYPE,TOT_HEIGHT,ASPECT_ORD,ASPECT_DEG,ASPECT_NORTH,ASPECT_EAST,SLOPE,HEIGHT_DOWN,TAXA,Functional,Species,Abundance
28-May-19,BLOCK ROUTE,1,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,130,3,L,CRUST,BLBRDOT,9
28-May-19,BLOCK ROUTE,1,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,130,3,L,CRUST,MINGREY,9
28-May-19,BLOCK ROUTE,1,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,130,3,L,CRUST,GRNCRST,1
28-May-19,BLOCK ROUTE,1,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,130,3,L,LOBE,TNYBRNCH,9
28-May-19,BLOCK ROUTE,1,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,130,3,L,LOBE,GRNSQB,6
28-May-19,BLOCK ROUTE,1,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,130,3,L,POWDER,GRNPDR,3
28-May-19,BLOCK ROUTE,1,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,130,3,L,POWDER,WHPDR,3
28-May-19,BLOCK ROUTE,1,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,130,3,L,UMB,TOADSK,7
28-May-19,BLOCK ROUTE,1,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,130,3,L,UMB,ROCKTRP,1
28-May-19,BLOCK ROUTE,1,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,130,3,M,,Wei_controversa,2
28-May-19,BLOCK ROUTE,2,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,130,3,L,CRUST,MINGREY,9
28-May-19,BLOCK ROUTE,2,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,130,3,L,CRUST,BLBRDOT,5
28-May-19,BLOCK ROUTE,2,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,130,3,L,CRUST,GRNCRST,2
28-May-19,BLOCK ROUTE,2,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,130,3,L,LOBE,TNYBRNCH,5
28-May-19,BLOCK ROUTE,2,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,130,3,L,POWDER,GRNPDR,2
28-May-19,BLOCK ROUTE,2,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,130,3,L,POWDER,WHPDR,2
28-May-19,BLOCK ROUTE,2,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,130,3,L,UMB,ROCKTRP,8
28-May-19,BLOCK ROUTE,2,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,130,3,P,,Sel_tortipila,2
28-May-19,BLOCK ROUTE,3,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,90,9,L,CRUST,GRNCRST,9
28-May-19,BLOCK ROUTE,3,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,90,9,L,CRUST,MINGREY,9
28-May-19,BLOCK ROUTE,3,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,90,9,L,CRUST,BLBRDOT,5
28-May-19,BLOCK ROUTE,3,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,90,9,L,LOBE,GRNSQB,4
28-May-19,BLOCK ROUTE,3,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,90,9,L,LOBE,TNYBRNCH,4
28-May-19,BLOCK ROUTE,3,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,90,9,L,POWDER,WHPDR,9
28-May-19,BLOCK ROUTE,3,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,90,9,L,UMB,TOADSK,9
28-May-19,BLOCK ROUTE,3,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,90,9,M,,Wei_controversa,4
28-May-19,BLOCK ROUTE,4,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,110,9,L,CRUST,MINGREY,9
28-May-19,BLOCK ROUTE,4,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,110,9,L,CRUST,BLBRDOT,8
28-May-19,BLOCK ROUTE,4,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,110,9,L,CRUST,GRNCRST,3
28-May-19,BLOCK ROUTE,4,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,110,9,L,LOBE,GRNSQB,2
28-May-19,BLOCK ROUTE,4,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,110,9,L,LOBE,TNYBRNCH,1
28-May-19,BLOCK ROUTE,4,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,110,9,L,POWDER,WHPDR,4
28-May-19,BLOCK ROUTE,4,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,110,9,L,POWDER,GRNPDR,2
28-May-19,BLOCK ROUTE,4,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,110,9,L,UMB,ROCKTRP,6
28-May-19,BLOCK ROUTE,4,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,110,9,M,,Wei_controversa,1
28-May-19,BLOCK ROUTE,5,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,140,13,L,CRUST,GRNCRST,9
28-May-19,BLOCK ROUTE,5,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,140,13,L,CRUST,MINGREY,9
28-May-19,BLOCK ROUTE,5,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,140,13,L,LOBE,TNYBRNCH,4
28-May-19,BLOCK ROUTE,5,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,140,13,L,LOBE,GRNSQB,1
28-May-19,BLOCK ROUTE,5,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,140,13,L,UMB,TOADSK,9
28-May-19,BLOCK ROUTE,5,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,140,13,M,,Wei_controversa,2
28-May-19,BLOCK ROUTE,6,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,140,13,L,CRUST,MINGREY,9
28-May-19,BLOCK ROUTE,6,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,140,13,L,CRUST,GRNCRST,3
28-May-19,BLOCK ROUTE,6,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,140,13,L,LOBE,GRNSQB,1
28-May-19,BLOCK ROUTE,6,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,140,13,L,LOBE,TNYBRNCH,1
28-May-19,BLOCK ROUTE,6,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,140,13,L,UMB,ROCKTRP,7
28-May-19,BLOCK ROUTE,7,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,140,18,L,CRUST,MINGREY,9
