PlotID,Num,Trt,SH_GR,pasture,old_point
101T,101,T,HSHG,LRC,
102T,102,T,HSHG,KC,31
103T,103,T,HSHG,KC,30
104T,104,T,HSHG,KC,26
105T,105,T,HSHG,HG,3
101C,101,C,HSHG,LRC,
102C,102,C,HSHG,KC,38
103C,103,C,HSHG,KC,35
104C,104,C,HSHG,KC,36
105C,105,C,HSHG,HG,4
201T,201,T,HSLG,KC,11
202T,202,T,HSLG,KC,12
203T,203,T,HSLG,HG,1
204T,204,T,HSLG,KC,7
201C,201,C,HSLG,KC,10
202C,202,C,HSLG,KC,9
203C,203,C,HSLG,HG,2
204C,204,C,HSLG,KC,5
301T,301,T,LSHG,LRC,
302T,302,T,LSHG,KC,45
303T,303,T,LSHG,KC,41
304T,304,T,LSHG,KC,40
305T,305,T,LSHG,KC,39
301C,301,C,LSHG,LRC,
302C,302,C,LSHG,KC,50
303C,303,C,LSHG,KC,49
304C,304,C,LSHG,KC,48
401T,401,T,LSLG,KC,16
401T,401,T,LSLG,KC,19
401C,401,C,LSLG,KC,20
402C,402,C,LSLG,KC,24
