Rep,Trt,Plot,TRT_COMBO,Bground,Aforb,ERCI6,LASE,BRJA,BRTE,ERUM,Pforb,SEIN2,CHJU,POSE,PSSP6,ACNE9,LECI4,ELEL5,FEID,CADO2,Bbluegrass,ARTRV,ARAR8,PUTR2,ERNA10,CHVI8
1,10,101,AIR_INDAZ_1,5,5,0,0,38,0,0,38,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0
1,11,102,AIR_INDAZ_1,18,5,0,0,38,5,0,18,0,0,5,5,5,0,0,0,0,0,5,0,0,5,0
1,12,103,AIR_INDAZ_1,5,5,0,0,18,18,0,18,5,0,5,5,5,5,0,0,0,0,18,0,0,0,5
1,13,104,AIR_INDAZ_2,5,38,0,18,63,5,0,5,0,0,5,0,0,18,5,0,0,5,0,0,0,0,0
1,14,105,AIR_INDAZ_IMAZ_1,5,38,0,5,38,18,0,5,5,5,18,0,0,0,0,0,0,0,0,0,0,0,0
1,15,106,AIR_INDAZ_IMAZ_1,18,0,0,0,38,5,0,18,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0
1,16,107,AIR_INDAZ_IMAZ_1,5,5,0,0,38,38,0,18,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0
1,17,108,AIR_INDAZ_IMAZ_2,5,5,0,0,38,38,0,18,0,0,18,5,5,0,5,0,0,5,5,0,0,0,0
2,10,201,AIR_INDAZ_1,5,5,0,5,38,0,0,18,0,0,18,0,0,0,5,0,0,0,5,18,0,0,0
2,11,202,AIR_INDAZ_1,18,18,0,0,63,18,5,18,0,0,18,5,0,0,0,0,0,0,0,0,0,5,0
2,12,203,AIR_INDAZ_1,18,5,0,0,38,18,0,5,5,0,5,5,5,0,0,0,0,5,18,0,0,5,0
2,13,204,AIR_INDAZ_2,5,5,0,18,5,38,0,38,5,0,5,0,0,5,0,0,0,0,0,0,0,0,0
2,14,205,AIR_INDAZ_IMAZ_1,5,5,0,5,18,63,0,5,5,0,38,0,5,0,0,5,0,0,0,0,0,0,0
2,15,206,AIR_INDAZ_IMAZ_1,5,5,38,5,0,18,0,5,5,5,38,0,5,0,0,0,0,0,0,0,0,0,0
2,16,207,AIR_INDAZ_IMAZ_1,18,18,0,0,18,38,0,18,5,0,5,0,0,0,0,5,0,0,0,0,0,0,0
2,17,208,AIR_INDAZ_IMAZ_2,5,5,0,18,63,5,0,5,5,0,18,5,0,0,0,0,0,0,0,0,0,0,0
3,10,301,AIR_INDAZ_1,5,18,0,5,63,0,0,18,0,0,18,0,0,0,5,0,0,5,18,18,0,0,0
3,11,302,AIR_INDAZ_1,38,5,0,0,18,0,0,18,0,0,18,0,0,0,5,0,0,0,18,0,0,0,0
3,12,303,AIR_INDAZ_1,5,5,0,0,63,18,0,18,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0
3,13,304,AIR_INDAZ_3,5,0,5,5,38,63,0,5,5,0,18,0,5,0,0,0,0,0,0,0,0,0,0
3,14,305,AIR_INDAZ_IMAZ_1,5,5,18,0,38,38,0,5,5,0,18,0,0,18,0,0,0,0,0,0,0,0,0
3,15,306,AIR_INDAZ_IMAZ_1,18,5,0,0,0,63,0,5,0,0,18,0,5,0,0,0,0,0,0,0,0,0,0
