Rep,Trt,Plot,TRT_COMBO,BGROUND,CAEX14,ERCI6,LAOC3,LASE,MADIA,MADIA2,NABR,SIAL2,TRDU,UnkCrepis,UnkThistle,BRJA,BRTE,ACMI2,AGGL,ALLIUM,AMSIN,ANLU2,ARSO2,ASTRA,BASA3,CHDO,CHJU,CIAR4,CIUN,CRAC2,CROC,ERBL,ERHE2,ERLA,EROV,ERPU2,ERTH4,ERUM,GERAN,IVAX,LIRU4,LONU2,LOTR,LUPIN,LUPIN2,LUPIN3,MACA2,PHHA,PHLO2,SEIN2,ZIPA2,ACNE9,ACTH7,CADO2,DAUN,ELEL5,LECI4,MEBU,POBU,POSE,PSSP6,UnkPoa,ARAR8,ARTRV,CHVI8,ERNA10,PUTR2,TETRA3,UnkSage,UNK1,UNK5
1,1,1301,CONTROL,18,0,0,0,0,5,5,0,0,0,0,0,18,18,0,5,5,0,0,0,0,0,0,0,0,0,5,0,0,38,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,18,0,0,0,18,0,0,5,0,0,0,38,0,0,0,5,0,0,0,0,0,0,0
2,1,1302,CONTROL,18,0,38,0,5,0,0,0,5,18,0,0,5,38,0,0,5,0,0,0,18,0,5,18,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,38,5,0,0,0,0,0,0,0,0,0,0
3,1,1303,CONTROL,18,0,5,0,0,5,0,0,0,5,5,0,38,5,0,5,5,5,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,5,5,0,0,0,0,5,0,0,0,5,0,0,5,0,0,5,38,5,0,0,5,0,0,0,0,0,5,0
4,1,1304,CONTROL,18,0,0,0,0,0,0,0,0,0,0,0,5,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,18,0,0,0,0,0,0,5,0,0,5,38,18,0,0,38,0,0,0,0,0,0,0
13,1,1305,CONTROL,38,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,18,0,5,0,0,18,0,5,0,0,0,5,0,0,5,5,0,5,18,0,0,63,0,0,0,0,0,0,0,0
6,1,1306,CONTROL,38,0,0,0,0,18,5,0,0,0,5,0,18,18,0,18,5,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,18,0,0,0,0,0,0,5,0,0,5,38,5,0,0,5,18,0,5,0,0,0,0
7,1,1307,CONTROL,38,0,0,0,5,5,5,5,5,18,0,0,5,38,0,18,0,0,0,0,5,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,18,0,0,0,0,0,0,0,0,0,0,38,18,0,0,0,0,0,0,0,0,5,0
8,1,1308,CONTROL,18,0,0,0,5,0,0,5,0,18,0,0,5,38,0,5,5,18,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,18,5,0,0,0,0,0,0,0,0,0,0
9,1,1309,CONTROL,18,0,0,0,0,0,0,5,0,0,0,0,5,63,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,63,5,0,0,0,0,0,0
10,1,1310,CONTROL,18,0,0,0,5,0,0,0,0,5,0,0,18,38,0,0,5,0,18,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0
11,1,1311,CONTROL,18,0,0,0,5,0,0,0,0,18,0,0,38,18,0,0,5,0,18,0,0,0,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,5,0,0,0,5,0,0,5,0,0,0,38,5,0,0,0,0,0,0,0,0,0,0
1,2,501,HEL_INDAZ_1,5,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,38,0,0,5,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0
2,2,601,HEL_INDAZ_1,5,0,0,0,0,0,0,0,0,5,0,0,5,5,0,5,5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,5,0,0,18,0,0,0,0,0,0,0,18,0,0,0,5,0,0,0,0,0,0,0
3,2,701,HEL_INDAZ_1,18,0,0,0,0,0,0,0,0,5,0,0,5,5,0,0,5,0,0,0,5,5,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,18,5,0,0,38,0,0,5,0,0,5,0
4,2,801,HEL_INDAZ_1,5,0,0,0,0,0,0,0,0,5,5,0,5,0,0,0,5,0,0,0,0,5,5,0,0,0,0,0,5,0,0,0,0,18,0,0,0,0,5,5,5,0,0,0,0,5,0,0,0,5,0,0,5,0,0,0,18,0,0,0,18,0,0,0,0,0,0,0
1,3,502,HEL_INDAZ_1,5,0,0,0,0,0,0,0,0,5,0,0,18,5,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,18,0,0,0,0,18,0,0,0,0,0,0,0,0,18,0,18,0,0,5,5,0,0,0,38,0,0,0,0,0,0,0
2,3,602,HEL_INDAZ_1,18,0,0,0,0,0,0,0,0,0,0,0,18,18,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,18,0,0,0,0,0,0,5,18,0,0,5,0,0,0,5,0,0,0,0,0,0,0
3,3,702,HEL_INDAZ_1,38,0,0,0,0,0,0,0,0,0,0,0,5,18,0,0,5,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,5,0,0,5,0,0,0,0,0,0,0,5,0,0,5,0,0,0,63,0,0,0,0,0,0,0
4,3,802,HEL_INDAZ_1,18,0,0,0,0,0,0,0,0,18,0,0,38,18,0,0,5,5,0,5,5,18,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,18,5,0,0,5,5,0,0,0,0,5,0
1,4,503,HEL_INDAZ_2,5,0,0,0,0,0,0,0,0,5,0,0,5,0,5,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,18,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0
