Year,Date,GPS.E..Start.,GPS.N..Start.,GPS.E..End.,GPS.N..End.,Channel.Width..m.,Point.Spacing..Paces.,Site,Transect,Point,Top,Second,Third,Fourth,Fifth,Sixth,Surface,Height,Top.1,Second.1,Third.1,Fourth.1,Fifth.1,Sixth.1,TOTAL,FAC.cvr,FAC.comp,FACW.cvr,FACW.comp,FACU.cvr,FACU.comp,OBL.cvr,OBL.comp,UPL.cvr,UPL.comp,NONE.cvr,NONE.comp,LITTER.cvr,LITTER.comp,GRASS.OR.GRASSLIKE.cvr,GRASS OR GRASSLIKE.comp,FORB.cvr,FORB.comp,WOODY.cvr,WOODY.comp
2021,6/24/2021,712224,4813306,712197,4813341,0.6096,1,East Fork,1,1,JUBA,POPR,ARLO6,HL,,,S ,L,FACW,FAC,FACW,LITTER, , ,3,1,1,1,2,0,0,0,0,0,0,0,0,1,1,1,2,1,1,0,0
2021,6/24/2021,712224,4813306,712197,4813341,0.6096,1,East Fork,1,2,IRMI,POGR9,JUBA,HL,,,S,L,FACW,FAC,FACW,LITTER, , ,3,1,1,1,2,0,0,0,0,0,0,0,0,1,1,1,1,1,2,0,0
2021,6/24/2021,712224,4813306,712197,4813341,0.6096,1,East Fork,1,3,JUBA,IRMI,HL,,,,S,L,FACW,FACW,LITTER, , , ,2,0,0,1,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0
2021,6/24/2021,712224,4813306,712197,4813341,0.6096,1,East Fork,1,4,JUBA,IRMI,HL,,,,S,L,FACW,FACW,LITTER, , , ,2,0,0,1,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0
2021,6/24/2021,712224,4813306,712197,4813341,0.6096,1,East Fork,1,5,JUBA,ALPR3,HL,,,,S,L,FACW,FACW,LITTER, , , ,2,0,0,1,2,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0
2021,6/24/2021,712224,4813306,712197,4813341,0.6096,1,East Fork,1,6,JUBA,ALPR3,HL,,,,S,L,FACW,FACW,LITTER, , , ,2,0,0,1,2,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0
2021,6/24/2021,712224,4813306,712197,4813341,0.6096,1,East Fork,1,7,JUBA,EQUIS,HL,,,,S,L,FACW,NONE,LITTER, , , ,2,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,2,0,0,0,0
2021,6/24/2021,712224,4813306,712197,4813341,0.6096,1,East Fork,1,8,JUBA,ALPR3,POGR9,HL,,,S,L,FACW,FACW,FAC,LITTER, , ,3,1,1,1,2,0,0,0,0,0,0,0,0,1,1,1,2,1,1,0,0
2021,6/24/2021,712224,4813306,712197,4813341,0.6096,1,East Fork,1,9,JUBA,HL,,,,,S,L,FACW,LITTER, , , , ,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
2021,6/24/2021,712224,4813306,712197,4813341,0.6096,1,East Fork,1,10,JUBA,IRMI,HL,,,,S,L,FACW,FACW,LITTER, , , ,2,0,0,1,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0
2021,6/24/2021,712224,4813306,712197,4813341,0.6096,1,East Fork,1,11,JUBA,ALPR3,HL,,,,S,L,FACW,FACW,LITTER, , , ,2,0,0,1,2,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0
2021,6/24/2021,712224,4813306,712197,4813341,0.6096,1,East Fork,1,12,ALPR3,HL,,,,,S,L,FACW,LITTER, , , , ,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
2021,6/24/2021,712224,4813306,712197,4813341,0.6096,1,East Fork,1,13,ALPR3,JUBA,HL,,,,S,L,FACW,FACW,LITTER, , , ,2,0,0,1,2,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0
2021,6/24/2021,712224,4813306,712197,4813341,0.6096,1,East Fork,1,14,ALPR3,JUBA,HL,,,,S,L,FACW,FACW,LITTER, , , ,2,0,0,1,2,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0
2021,6/24/2021,712224,4813306,712197,4813341,0.6096,1,East Fork,1,15,ALPR3,JUBA,HL,,,,S,L,FACW,FACW,LITTER, , , ,2,0,0,1,2,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0
2021,6/24/2021,712224,4813306,712197,4813341,0.6096,1,East Fork,1,16,JUBA,IRMI,HL,,,,S,L,FACW,FACW,LITTER, , , ,2,0,0,1,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0
2021,6/24/2021,712224,4813306,712197,4813341,0.6096,1,East Fork,1,17,JUBA,POGR9,HL,,,,S,L,FACW,FAC,LITTER, , , ,2,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0
2021,6/24/2021,712224,4813306,712197,4813341,0.6096,1,East Fork,1,18,JUBA,MAST4,POGR9,HL,,,S,L,FACW,FACU,FAC,LITTER, , ,3,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,2,0,0
2021,6/24/2021,712224,4813306,712197,4813341,0.6096,1,East Fork,1,19,JUBA,IRMI,POGR9,HL,,,S,L,FACW,FACW,FAC,LITTER, , ,3,1,1,1,2,0,0,0,0,0,0,0,0,1,1,1,1,1,2,0,0
2021,6/24/2021,712224,4813306,712197,4813341,0.6096,1,East Fork,1,20,JUBA,HL,,,,,S,L,FACW,LITTER, , , , ,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
2021,6/24/2021,712224,4813306,712197,4813341,0.6096,1,East Fork,1,21,JUBA,ALPR3,HL,,,,S,L,FACW,FACW,LITTER, , , ,2,0,0,1,2,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0
2021,6/24/2021,712224,4813306,712197,4813341,0.6096,1,East Fork,1,22,JUBA,IRMI,GEVI2,HL,,,S,L,FACW,FACW,FAC,LITTER, , ,3,1,1,1,2,0,0,0,0,0,0,0,0,1,1,1,1,1,2,0,0
2021,6/24/2021,712224,4813306,712197,4813341,0.6096,1,East Fork,1,23,JUBA,ALPR3,HL,,,,S,L,FACW,FACW,LITTER, , , ,2,0,0,1,2,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0
2021,6/24/2021,712224,4813306,712197,4813341,0.6096,1,East Fork,1,24,JUBA,IRMI,MAST4,HL,,,S,L,FACW,FACW,FACU,LITTER, , ,3,0,0,1,2,1,1,0,0,0,0,0,0,1,1,1,1,1,2,0,0
2021,6/24/2021,712224,4813306,712197,4813341,0.6096,1,East Fork,1,25,JUBA,ALPR3,IRMI,HL,,,S,L,FACW,FACW,FACW,LITTER, , ,3,0,0,1,3,0,0,0,0,0,0,0,0,1,1,1,2,1,1,0,0
2021,6/24/2021,712224,4813306,712197,4813341,0.6096,1,East Fork,1,26,ALPR3,JUBA,IRMI,HL,,,S,L,FACW,FACW,FACW,LITTER, , ,3,0,0,1,3,0,0,0,0,0,0,0,0,1,1,1,2,1,1,0,0
2021,6/24/2021,712224,4813306,712197,4813341,0.6096,1,East Fork,1,27,JUBA,ALPR3,POGR9,HL,,,S,L,FACW,FACW,FAC,LITTER, , ,3,1,1,1,2,0,0,0,0,0,0,0,0,1,1,1,2,1,1,0,0
2021,6/24/2021,712224,4813306,712197,4813341,0.6096,1,East Fork,1,28,JUBA,ALPR3,POGR9,HL,,,S,L,FACW,FACW,FAC,LITTER, , ,3,1,1,1,2,0,0,0,0,0,0,0,0,1,1,1,2,1,1,0,0
2021,6/24/2021,712224,4813306,712197,4813341,0.6096,1,East Fork,1,29,JUBA,ALPR3,HL,,,,S,L,FACW,FACW,LITTER, , , ,2,0,0,1,2,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0
2021,6/24/2021,712224,4813306,712197,4813341,0.6096,1,East Fork,1,30,JUBA,MIGU,,,,,S,L,FACW,OBL, , , , ,2,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0
2021,6/24/2021,712224,4813306,712197,4813341,0.6096,1,East Fork,1,31,WATER,WATER,WATER,WATER,WATER,,WATER,WATER,,,,,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,6/24/2021,712224,4813306,712197,4813341,0.6096,1,East Fork,1,32,JUBA,POGR9,HL,,,,S,L,FACW,FAC,LITTER, , , ,2,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0
2021,6/24/2021,712224,4813306,712197,4813341,0.6096,1,East Fork,1,33,ALPR3,HL,,,,,S,L,FACW,LITTER, , , , ,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
2021,6/24/2021,712224,4813306,712197,4813341,0.6096,1,East Fork,1,34,ALPR3,HL,,,,,S,L,FACW,LITTER, , , , ,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
2021,6/24/2021,712224,4813306,712197,4813341,0.6096,1,East Fork,1,35,JUBA,ALPR3,HL,,,,S,L,FACW,FACW,LITTER, , , ,2,0,0,1,2,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0
2021,6/24/2021,712224,4813306,712197,4813341,0.6096,1,East Fork,1,36,JUBA,HL,,,,,S,L,FACW,LITTER, , , , ,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
2021,6/24/2021,712224,4813306,712197,4813341,0.6096,1,East Fork,1,37,JUBA,HL,,,,,S,L,FACW,LITTER, , , , ,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
2021,6/24/2021,712224,4813306,712197,4813341,0.6096,1,East Fork,1,38,MAST4,HL,,,,,S,L,FACU,LITTER, , , , ,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0
2021,6/24/2021,712224,4813306,712197,4813341,0.6096,1,East Fork,1,39,JUBA,HL,,,,,S,L,FACW,LITTER, , , , ,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
2021,6/24/2021,712224,4813306,712197,4813341,0.6096,1,East Fork,1,40,JUBA,HL,,,,,S,L,FACW,LITTER, , , , ,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
2021,6/24/2021,712224,4813306,712197,4813341,0.6096,1,East Fork,1,41,ALPR3,HL,,,,,S,L,FACW,LITTER, , , , ,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
2021,6/24/2021,712224,4813306,712197,4813341,0.6096,1,East Fork,1,42,JUBA,ALPR3,HL,,,,S,L,FACW,FACW,LITTER, , , ,2,0,0,1,2,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0
2021,6/24/2021,712224,4813306,712197,4813341,0.6096,1,East Fork,1,43,JUBA,HL,,,,,S,L,FACW,LITTER, , , , ,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
2021,6/24/2021,712224,4813306,712197,4813341,0.6096,1,East Fork,1,44,ALPR3,JUBA,HL,,,,S,L,FACW,FACW,LITTER, , , ,2,0,0,1,2,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0
2021,6/24/2021,712224,4813306,712197,4813341,0.6096,1,East Fork,1,45,JUBA,ALPR3,HL,,,,S,L,FACW,FACW,LITTER, , , ,2,0,0,1,2,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0
2021,6/24/2021,712224,4813306,712197,4813341,0.6096,1,East Fork,1,46,,HL,,,,,S,L, ,LITTER, , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2021,6/24/2021,712224,4813306,712197,4813341,0.6096,1,East Fork,1,47,IRMI,JUBA,HL,,,,S,L,FACW,FACW,LITTER, , , ,2,0,0,1,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0
2021,6/24/2021,712224,4813306,712197,4813341,0.6096,1,East Fork,1,48,ALPR3,HL,,,,,S,L,FACW,LITTER, , , , ,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
2021,6/24/2021,712224,4813306,712197,4813341,0.6096,1,East Fork,1,49,ALPR3,HL,,,,,S,L,FACW,LITTER, , , , ,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
2021,6/24/2021,712224,4813306,712197,4813341,0.6096,1,East Fork,1,50,,HL,,,,,S,L, ,LITTER, , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2021,6/24/2021,712224,4813306,712197,4813341,0.6096,1,East Fork,1,51,JUBA,HL,,,,,S,L,FACW,LITTER, , , , ,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
2021,6/24/2021,712220,4813306,712197,4813341,.,.,East Fork,2,1,JUBA,HL,,,,,S ,L,FACW,LITTER, , , , ,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
